iter	MultiClass
0	1.075938025
1	1.054855165
2	1.03225769
3	1.005907919
4	0.9873204445
5	0.9655414821
6	0.9442618354
7	0.9245434961
8	0.9068315309
9	0.8916717987
10	0.8745700871
11	0.8584050791
12	0.8414619578
13	0.8254477662
14	0.8104099057
15	0.7953997644
16	0.7794390166
17	0.7670421192
18	0.7534034851
19	0.742008928
20	0.7294460105
21	0.7164159087
22	0.7041139057
23	0.6944246601
24	0.6824812601
25	0.6706556498
26	0.6601600333
27	0.6512381551
28	0.6427497934
29	0.6353607496
30	0.6263101171
31	0.6182256071
32	0.6086881681
33	0.6008855487
34	0.592872639
35	0.5871386719
36	0.5802039864
37	0.5739160635
38	0.5665463887
39	0.5592256933
40	0.5540862341
41	0.549170529
42	0.5424862034
43	0.5410439293
44	0.5339471823
45	0.5300440795
46	0.5234907397
47	0.5209694317
48	0.5176412792
49	0.5146704309
50	0.5097561236
51	0.5051692947
52	0.5009213339
53	0.4992353013
54	0.4937321971
55	0.4896754386
56	0.4879418306
57	0.4850283512
58	0.481177957
59	0.4773424212
60	0.4729462609
61	0.4700004664
62	0.4666083158
63	0.4647451995
64	0.463374623
65	0.4600217192
66	0.456118358
67	0.4517963095
68	0.4481532051
69	0.4436531512
70	0.4412136511
71	0.4379804034
72	0.4338396574
73	0.4313118218
74	0.4304997804
75	0.4257922752
76	0.4245239592
77	0.4212440625
78	0.4177385749
79	0.416772779
80	0.4152050129
81	0.4115681701
82	0.4101881545
83	0.4080029168
84	0.4069574412
85	0.4051965283
86	0.4012318194
87	0.398603445
88	0.3970993039
89	0.3962739607
90	0.3956222983
91	0.3931034248
92	0.3923864484
93	0.3920411928
94	0.3888251176
95	0.3883878702
96	0.386999969
97	0.3840888096
98	0.3838777809
99	0.3821401008
100	0.3816845867
101	0.3785829912
102	0.3774949193
103	0.3751378774
104	0.374075311
105	0.3728353274
106	0.3707029828
107	0.3698780279
108	0.368809041
109	0.3679588541
110	0.3674216987
111	0.3665704833
112	0.3655798334
113	0.3640536814
114	0.3610798852
115	0.3592409676
116	0.3587092129
117	0.3559200372
118	0.3550714003
119	0.3546123944
